id,title,subtitle,intro,poster,pubdate,url,rating,star,comment,tags,star_time
3385242023,消失的13级台阶,[日] 高野和明 / 2020 / 上海文艺出版社,"【内容简介】
一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆……
死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧失记忆的死刑犯洗清冤屈。但他们查到的唯一线索，就是树原亮记得自己曾“走在台阶上”。
距离树原亮被执行死刑的时间所剩无几，但这起案 件始终疑云重重，仅有的线索“台阶”仿佛也凭空消失了……
【编辑推荐】
🔹荣获日本推理小说至高荣誉江户川乱步奖！
🔸荣获周刊文春“推理小说BEST10”第2名。
🔹入围“这本推理小说了不起”榜单。
🔸作者高野和明曾获日本推理作家协会奖，作品入围各大榜单。
🔹日本推理小说家宫部美雪好评盛赞，曾为本书写解说。
🔸曾改拍成电影，反町隆史、山崎努领衔主演！
🔹扑朔迷离的案件背后 ，是一次对死刑制度鞭辟入里的探讨。
🔸是否值得为一场痛快的复仇，陪葬掉自己的人生？
【名家评论】
这是一次很有勇气的尝试，文中处处能感受到作者的热忱。我一口气读完了这本书，非常推荐！——宫部美雪
直到故事最后才呈现出错综复杂的真相，故事的情节设想得天衣无缝！——北村薰
虽然内容有些沉重，但是这本书具备让人一鼓作气读完的磅礴气势。——北方谦三
所有优秀推理小说应具备的条件，这本书里都发挥得恰到好处，无可挑剔。——逢坂刚",https://img9.doubanio.com/view/subject/l/public/s34070178.jpg,2020-5-15,https://book.douban.com/subject/34996429/,8.6,5,,,2022-06-10 14:03:06
3368948328,信,[日] 东野圭吾 / 2020 / 北京联合出版公司,"“哥哥，你好吗？这是我写给你的最后一封信……从你离去之后，这个社会开始对我复仇……”
武岛直贵，一个与社会格格不入的青年——父母双亡后，他和哥哥相依为命。为了给直贵筹措学费，哥哥闯入民宅偷窃，却因盗窃杀人而入狱服刑。从此，兄弟俩只能用书信沟通。犯罪的分明是哥哥，无辜的直贵却因此失去了他的全部。学业、求职、恋爱、生活、梦想，他苦苦地追求，社会却只因他是“杀人犯的弟弟”，一次次不由分说地将他驱逐。十多年来，哥哥从高墙内写给弟弟的一封封满怀牵挂的家信，就像一道道沉重的枷锁，禁锢了直贵的一生。直贵不禁自问：因为哥哥杀了人，所以连我也被这个社会抹杀了吗？
☆☆☆☆☆☆☆
不能错过《信》的七大理由：
1、入选直木奖，登顶东野文库本作品史上最高销量的不朽名作！
日本《每日新闻》连载话题作，单月突破百万册！
超越《解忧杂货店》《白夜行》！日本读者票选东野圭吾十大杰作之一！
2、东野圭吾的集大成之作，首部关注犯罪者家人生存困境的小说。
《信》情节曲折动人，笔力扎实，跳出了类型、流派的格局限制，兼得犯罪小说、成长小说、言情小说、社会问题小说之趣。因此被东野圭吾研究者认为是其集大成的作品。
3、日本两度影视化改编，超人气偶像山田孝之、龟梨和也出演男主引发热议。
同名剧作豆瓣网友热议。“原作具有感人魅力。弟弟被社会冷漠歧视而屡屡被迫偏离正常人生轨道的经历，想必另很多人感同身受。”
4、国内同名音乐剧入选2020音乐剧年度大赏，演出火爆，场场爆满！
“一对兄弟，两个家庭，跨越十年的救赎。”《声入人心》成员龚子棋、郑云龙动容演绎，感人至深。该剧为2018年中日集中交流月项目之一。
5、中日读者五星推荐，热泪盈眶度第一名！
“是因为这本书喜欢上畅销君的，这本书即使重读，也依然不减凄怆的魅力。”
6、多国语言出版，感动风暴席卷世界。
自出版以来，《信》已被译为中、韩、泰国、越南、德国等多个语言版本。影响力广大。
7、雅致双封，全新品质升级，收藏&馈赠俱佳。
随书附赠书信套装、邮筒书签，好看又好用~",https://img9.doubanio.com/view/subject/l/public/s33734467.jpg,2020-10-15,https://book.douban.com/subject/35076023/,8.1,5,,,2022-05-27 00:41:08
1735955117,骆驼祥子,老舍 / 2000 / 人民文学出版社,《骆驼祥子》是老舍用同情的笔触描绘的一幕悲剧：二十年代的北京，一个勤劳、壮实的底层社会小人物怀着发家、奋斗的美好梦想，却最终为黑暗的暴风雨所吞噬。它揭示了当时“小人物”的奴隶心理和希望的最终破灭。随着祥子心爱的女人小福子的自杀，祥子熄灭了个人奋斗的最后一朵火花。这是旧中国老北京贫苦市民的典型命运。,https://img9.doubanio.com/view/subject/l/public/s1146040.jpg,2000-3-1,https://book.douban.com/subject/1043815/,8.6,5,,,2022-05-18 13:31:41
3228422916,一句顶一万句,刘震云 / 2009 / 长江文艺出版社,《一句顶一万句》的故事很简单，小说的前半部写的是过去：孤独无助的吴摩西失去唯一能够“说得上话”的养女，为了寻找，走出延津；小说的后半部写的是现在：吴摩西养女的儿子牛爱国，同样为了摆脱孤独寻找“说得上话”的朋友，走向延津。一走一来，延宕百年。书中的人物大部分是中国最底层的老百姓，偏偏安排了一个意大利牧师老詹。,https://img9.doubanio.com/view/subject/l/public/s6916838.jpg,2009-3,https://book.douban.com/subject/3633461/,8.7,5,,,2022-05-18 13:30:48
1565556051,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 / 2011 / 中信出版社,"这本乔布斯唯一授权的官方传记，在2011年上半年由美国出版商西蒙舒斯特对外发布出版消息以来，备受全球媒体和业界瞩目，这本书的全球出版日期最终确定为2011年11月21日，简体中文版也将同步上市。
两年多的时间，与乔布斯40多次的面对面倾谈，以及与乔布斯一百多个家庭成员、 朋友、竞争对手、同事的不受限的采访，造就了这本独家传记。
尽管乔布斯给予本书的采访和创作全面的配合，但他对内容从不干涉，也不要求出版前阅读全文的权利。对于任何资源和关联的人，他都不设限，甚至鼓励他所熟知的人袒露出自己的心声。
“我已经做了很多并不值得自豪的事情，比如23岁时就让我的女友怀了孕，以及我对这件事的处理方式”，他说， “对我而言，没有什么不可以对外袒露的。”
谈及和他共过事的人以及竞争对手，他直言不讳，甚至尖酸刻薄。他的激情、精力、欲望、完美主义、艺术修养、残暴还有对掌控权的迷恋塑造出的商业哲学一览无余。
同样，他的朋友、敌人，还有同事得以为我们提供了一个前所未有的毫无掩饰的视角。
他是一位极具创造力的企业家，他有如过山车般精彩的人生和犀利激越的性格，充满追求完美和誓不罢休的激情，他创造出个人电脑、动画电影、音乐、手机、平板电脑以及数字出版等6大产业的颠覆性变革。
乔布斯的个性经常让周围的人愤怒和绝望，但其所创造出的产品也与这种个性息息相关，全然不可分割的，正如苹果的硬件和软件一样。
他的故事既具有启发意义，又有警示意义，充满了关于创新、个性、领导力以及价值观的教益。",https://img9.doubanio.com/view/subject/l/public/s6974202.jpg,2011-10-24,https://book.douban.com/subject/6798611/,8.7,5,,,2022-05-18 13:30:26
1514008929,人生的智慧,(德)叔本华 / 2008 / 上海人民出版社,他于1850年写了《附录和补遗》一书，《人生的智慧》是该书中的一部分。在书中，他以优雅的文体，格言式的笔触阐述了自己对人生的看法。《人生的智慧》使沉寂多年的叔本华在晚年一举成名。我社出版的这本全译本是我国第一个根据德文版译出的中文本。这本书讨论的事情与我们的世俗生活至为接近，诸如健康、财富、名声、荣誉、养生和待人接物所应遵守的原则等。正如叔本华所说的，在这本书里他尽量以世俗、实用的角度考虑问题。因此，这本书尤其适合大众阅读。虽然叔氏尽量放弃了居高俯临的审视角度，但关于错综复杂并因此众说纷纭的世俗人情的话题，经过这位思想大师一贯深刻而因此透彻的讨论之后，变得清晰简明，话题也几已穷尽矣。,https://img9.doubanio.com/view/subject/l/public/s4619775.jpg,2008-10-01,https://book.douban.com/subject/3261600/,9.2,5,,"成长,人生的智慧",2022-05-18 13:28:55
1565539738,黄金时代,王小波 / 1999 / 花城出版社,《黄金时代》是《时代三部曲》之一。  这是以文革时期为背景的系列作品构成的长篇。发生“文化大革命”的二十世纪六七十年代，正是我们国家和民族的灾难年代。那时，知识分子群体无能为力而极“左”政治泛滥横行。作为倍受歧视的知识分子，往往丧失了自我意志和个人尊严。在这组系列作品里面，名叫“王二”的男主人公处于恐怖和荒谬的环境，遭到各种不公正待遇，但他却摆脱了传统文化人的悲愤心态，创造出一种反抗和超越的方式：既然不能证明自己无辜，便倾向于证明自己不无辜。于是他以性爱作为对抗外部世界的最后据点，将性爱表现得既放浪形骸又纯,https://img9.doubanio.com/view/subject/l/public/s1076372.jpg,1999-3,https://book.douban.com/subject/1089243/,8.9,5,,,2022-05-18 13:25:10
3358600891,彷徨,鲁迅 / 1973 / 人民文学出版社,"《彷徨》收入鲁迅1924年至1925年所作的小说，首篇《祝福》写于1924年2月16日，末篇《离婚》写于1925年11月6日，实际的时间跨度是一年半多，1926年由北京北新书局出版，列为作者所编的《乌合丛书》之一。此后印行的版本都与初版同。
书的扉页，有作者的题记：
朝发轫于苍梧兮，夕余至乎县圃；欲少留此灵琐兮，日忽忽将其暮。
吾令羲和弭节兮，望崦嵫而勿迫；路漫漫其修远兮，吾将上下而求索。
《彷徨》鲁迅先生写作于“五·四”运动后新文化阵营分化的时期。原来参加过新文化运动的人，“有的退隐，有的高升，有的前进”，鲁迅当时象布不成阵的游勇那样“孤独”和 “彷徨”。《彷徨》表现了他在这一时期在革命征途上探索的心情。
《彷徨》目录：
《祝福》
《在酒楼上》
《幸福的家庭》
《肥皂》
《长明灯》
《示众》
《高老夫子》
《孤独者》
《伤逝》
《弟兄》
《离婚》",https://img9.doubanio.com/view/subject/l/public/s34099293.jpg,1973-3,https://book.douban.com/subject/1449348/,9.2,5,,,2022-05-18 13:24:42
3227666516,一日三秋,刘震云 / 2021 / 花城出版社,"刘震云2021重磅新作，人间多少事，两三笑话中
【编辑推荐】
★《一日三秋》是当代著名作家刘震云的现实魔幻主义新作，《一句顶一万句》的升级版，从百年延宕到千年求索。
★从《一地鸡毛》中的一斤豆腐到《一日三秋》中的一把韭菜，我们走过三十年，心态却如同经历了三千年。
★神界鬼界 画里画外 戏里戏外 梦里梦外 故乡他乡 历史当下——“一日三秋”不止于时间体验，更是六重矛盾中的空间体验。
★《一日三秋》是刘震云对故乡、对人生的多维反思，以笑话结构全书，以冷幽默消解严峻。
★在人与故乡渐行渐远的年代，故乡成为一个遥远的记忆符号，然而它对人的影响却是连绵不绝的。刘震云以其独特的观察和幽默风格，写出了人类本质的命运。
【内容介绍】
小说《一日三秋》引用民间“花二娘”的传说，以想象的故事描述“我”记忆中的六叔生前所画的画作，探讨延津人幽默的本质。
从两米见方的剧团人物群像素描中挑出陈长杰、李延生、樱桃，围绕几位主人公身边出现的人物，有开车的、扫大街的、开饭馆的，串联起几个家庭的人生经历和故事，把世人被忘却的情感和心事复刻出来。后引出寻常父子二人遍尝生活辛酸后对人生至理的了悟，在不同时间和地点悟出：一个重要的的瞬间，在人生中犹如一日三秋，但这瞬间永不再来。
小说充满了黑色幽默，世俗生活所包含的哲理，及打破日常生活壁垒的想象力。刘震云写出现实与想象中的人性、土地、命运。既是幽默，也是讽刺；既是魔幻，也是现实。",https://img9.doubanio.com/view/subject/l/public/s33946803.jpg,2021-7,https://book.douban.com/subject/35496106/,8.4,5,,,2022-02-07 23:34:08
1735959658,禅与摩托车维修艺术,罗伯特•M.波西格 (Robert M.Pirsig) / 2011 / 重庆出版社,在一个炎热的夏天，父子两人和约翰夫妇骑摩托车从明尼苏达到加州，跨越美国大陆，旅行的过程与一个青年斐德洛研修科学技术与西方经典，寻求自我的解脱，以及探寻生命的意义的过程相互穿插。一路上父亲以一场哲学肖陶扩的形式，将见到的自然景色，野外露营的经历，夜晚旅店的谈话，机车修护技术等等日常生活与西方从苏格拉底以来的理性哲学的深入浅出的阐述与评论相结合，进行了对形而上学传统的主客体二元论的反思，以及对科学与艺术，知识与价值，古典主义与浪漫主义，精神与物质，机械论与神秘主义，西方与东方等西方二分法划分下的事物间的关系的思考。并潜入自己的过去，探寻在现代文明下自己精神的分裂的起源，完成了一次自我心灵与人类文明的探索。,https://img9.doubanio.com/view/subject/l/public/s6927676.jpg,2011-9-1,https://book.douban.com/subject/6811366/,8.2,4,,,2021-05-22 20:25:39
